2601	1	4	450	
2602	1	5		
2603	2	5		
2604	1	3		
2605	1	5		
2606	2	5		
2607	2	5		
2608	2	4		
2609	1	3		
2610	2	5		
2611	1	3		
2612	1	3		
2613	1	2		
2614	2	4	288	
2615	1	4	288	
2616	1	5	288	
2617	1	5		
2618	1	5		
2619	1	5		
2620	2	5		
2621	1	5	420	
2622	2	5	420	
2623	1	5		
2624	2	5		
2625	2	5		
2626	2	5		
2627	1	5	420	
2628	2	5		
2629	2	5	420	
2630	2	5		
2631	2	5	440	
2632	1	5		
2633	2	2		
2634	1	5	320	
2635	2	5	320	
2636	2	4		
2637	1	5	750	
2638	2	2		
2639	1	2		
2640	1	5		
2641	2	5		
2642	2	5		
2643	1	5	700	
2644	1	5		
2645	2	4	700	
2646	2	3		
2647	2	4		
2648	1	5	1000	
2649	1	5		
2650	2	5		
2651	2	5		
2652	2	5		
2653	2	5		
2654	1	5		
2655	2	5		
2656	2	1		
2657	1	4		
2658	2	3		
2659	1	1		
2660	2	5		
2661	1	5		
2662	2	5		
2663	2	5		
2664	1	5		
2665	1	5		
2666	1	5		
2667	1	5		
2668	2	5		
2669	2	4		
2670	1	5		
2671	1	5		
2672	1	5		
2673	2	5		
2674	1	4	450	
2675	2	4	450	
2676	1	5		
2677	2	5		
2678	1	5		
2679	1	5		
2680	1	5		
2681	1	5		
2682	1	5		
2683	2	5		
2684	1	5		
2685	1	5		
2686	1	5		
2687	2	5		
2688	1	5		
2689	1	5		
2690	2	5		
2691	2	3		
2692	1	5		
2693	2	3		
2694	1	4		
2695	1	5		
2696	1	4		
2697	1	5		
2698	1	5		
2699	2	3	1000	
2700	1	2		
2701	2	5		
2702	2	5		
2703	1	2		
2704	1	5		
2705	1	5		
2706	1	5		
2707	2	5		
2708	1	5		
2709	1	5		
2710	2	5		
2711	1	5		
2712	1	2		
2713	2	2		
2714	1	2		
2715	1	2		
2716	1	5		
2717	1	3		
2718	1	3		
2719	1	5		
2720	2	5		
2721	2	4	524	
2722	1	5		
2723	2	5		
2724	1	3		
2725	2	3		
2726	1	4		
2727	1	2		
2728	1	5	300	
2729	1	5		
2730	2	5	750	
2731	1	2		
2732	2	1		
2733	1	2		
2734	2	2		
2735	2	5		
2736	1	1		
2737	2	1		
2738	1	3	900	
2739	1	5	700	
2740	1	5		
2741	1	5		
2742	1	2		
2743	1	5	760	
2744	1	5		
2745	2	5		
2746	2	2		
2747	1	2		
2748	1	5		
2749	1	5		
2750	1	4		
2751	1	2		
2752	2	2		
2753	1	5		
2754	2	5		
2755	1	5		
2756	1	3		
2757	1	5		
2758	2	5		
2759	1	5		
2760	2	5		
2761	1	5		
2762	2	3		
2763	1	1		
2764	2	5		
2765	1	1		
2766	1	1	1000	
2767	2	5		
2768	1	2		
2769	2	2		
2770	2	2		
2771	1	2		
2772	2	5	750	
2773	2	4	600	
2774	1	5		
2775	1	4		
2776	2	4		
2777	2	5		
2778	1	4		
2779	2	4	350	
2780	1	2		
2781	1	5		
2782	2	5		
2783	1	5		
2784	1	5		
2785	2	5		
2786	2	4	300	
2787	2	5	750	
2788	2	5	450	
2789	2	5	300	
2790	2	4	750	
2791	1	5		
2792	2	5		
2793	1	4		
2794	2	5	320	
2795	1	5		
2796	1	5		
2797	2	5	350	
2798	1	5		
2799	2	5	500	
2800	2	5	320	
2801	2	5	320	
2802	1	5		
2803	1	5		
2804	1	5		
2805	1	5		
2806	2	5	1500	
2807	1	3		
2808	1	4		
2809	1	2		
2810	1	2		
2811	1	1		
2812	1	5		
2813	2	5		
2814	2	5		
2815	1	5		
2816	1	5		
2817	2	5		
2818	2	5		
2819	1	5		
2820	1	5		
2821	1	5		
2822	2	5		
2823	1	2		
2824	1	4		
2825	1	2		
2826	1	2		
2827	1	5		
2828	2	5		
2829	1	5		
2830	2	2		
2831	2	4		
2832	1	5		
2833	2	5		
2834	2	4		
2835	1	4		
2836	2	5		
2837	2	5		
2838	2	2		
2839	1	5	750	
2840	2	5		
2841	2	4		
2842	1	5		
2843	1	1	800	
2844	2	1	800	
2845	1	5		
2846	1	4		
2847	2	3		
2848	1	5		
2849	2	5		
2850	1	5		
2851	1	2		
2852	1	2		
2853	1	5		
2854	1	1		
2855	1	4		
2856	1	5		
2857	2	5		
2858	1	5		
2859	1	5		
2860	1	5		
2861	2	4		
2862	1	3	300	
2863	1	5		
2864	2	5	570	
2865	1	5		
2866	1	5		
2867	1	5		
2868	1	5		
2869	2	5	300	
2870	2	5		
2871	1	5		
2872	2	5		
2873	1	3		
2874	2	5		
2875	1	3		
2876	2	5		
2877	2	4		
2878	1	5		
2879	2	5		
2880	2	4	400	
2881	2	4		
2882	2	3	300	
2883	2	5		
2884	1	4		
2885	2	5		
2886	1	5		
2887	2	2		
2888	1	4	386	
2889	2	5		
2890	1	4		
2891	1	5		
2892	2	4		
2893	1	4		
2894	2	4	450	
2895	2	2	600	
2896	1	5		
2897	1	3		
2898	2	4	6800	
2899	1	4	300	
2900	2	4	400	
2901	1	1		
2902	2	2		
2903	2	5		
2904	2	5		
2905	1	3		
2906	2	3		
2907	1	3		
2908	1	2		
2909	1	2		
